price,size,bed_rooms,toilets,house_type,property_legal_document,city,district,ward,street,floors
8500000000.0,200.0,2.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,An Giang,Thành phố Châu Đốc,Phường Châu Phú B,Đường Lê Lai,
5600000000.0,64.0,4.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông A,Đường Hương Lộ 2,
12000000000.0,300.0,,,,Đã có sổ,Bình Dương,Thành phố Dĩ An,Phường Bình An,Bình An,
1750000000.0,100.0,,,,Đã có sổ,Đồng Nai,Huyện Trảng Bom,Thị trấn Trảng Bom,Quốc lộ 1A,
45000000000.0,12000.0,,,,Đã có sổ,Bến Tre,Huyện Châu Thành,Xã Thành Triệu,Đường Lộ Thơ,
1400000000.0,103.0,,,,Đã có sổ,Đồng Nai,Huyện Trảng Bom,Thị trấn Trảng Bom,Hùng Vương,
11300000000.0,86.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận 7,Phường Tân Hưng,Đường Lê Văn Lương,1.0
5350000000.0,48.0,3.0,3.0,"Nhà ngõ, hẻm",Đang chờ sổ,Tp Hồ Chí Minh,Quận 8,Phường 4,Đường Phạm Hùng,
3800000000.0,509.0,11.0,7.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Bà Rịa - Vũng Tàu,Thị xã Phú Mỹ,Phường Hắc Dịch,hắc dịch tóc tiên,1.0
18000000000.0,93.0,5.0,6.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận 7,Phường Tân Hưng,Đường Số 3,4.0
3850000000.0,100.0,,,,Đã có sổ,Bình Dương,Thành phố Dĩ An,Phường Tân Bình,Bui Thi Xuan,
820000000.0,100.0,,,,Đã có sổ,Đồng Nai,Huyện Vĩnh Cửu,Xã Bình Lợi,Xóm Rạch,
2100000000.0,78.0,2.0,2.0,,Sổ hồng riêng,Bình Dương,Thành phố Thủ Dầu Một,Phường Chánh Nghĩa,Đường Hoàng Văn Thụ,
5400000000.0,44.0,3.0,3.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận Gò Vấp,Phường 12,Đường Phan Huy Ích,5.0
13500000000.0,84.0,1.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận 6,Phường 13,Đường Kinh Dương Vương,1.0
2790000000.0,125.0,,,,Đã có sổ,Đồng Nai,Huyện Trảng Bom,Xã Đồi 61,Đường Lê Duẩn,
6500000000.0,5500.0,,,,Đã có sổ,Đắk Lắk,Thành phố Buôn Ma Thuột,Xã Hòa Thuận,quốc lộ 14,
15000000000.0,1900.0,,,,Đã có sổ,Tp Hồ Chí Minh,Huyện Củ Chi,Xã Phú Hòa Đông,Nguyễn Thị Nê-Nguyễn Thị Nữa,
7000000000.0,68.0,5.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận 6,Phường 9,Đường Bến Phú Lâm,5.0
10000000000.0,140.0,4.0,4.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Huyện Nhà Bè,Xã Phước Kiển,Lê Văn Lương,2.0
45000000000.0,236.0,,,,Đã có sổ,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Phước Long A (Quận 9 cũ),Đường Song Hành Xa lộ Hà Nội - Nhánh Quận 9,
5500000000.0,130.0,,,,Đã có sổ,Tp Hồ Chí Minh,Huyện Hóc Môn,Xã Bà Điểm,Đường Phan Văn Hớn,
1300000000.0,300.0,,,,Đã có sổ,Bình Dương,Thị xã Bến Cát,Phường Thới Hòa,đại lộ bình dương,
3230000000.0,84.0,,,,Đã có sổ,Tp Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,Đường Tô Ngọc Vân,
4600000000.0,100.0,4.0,3.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Đồng Nai,Huyện Trảng Bom,Thị trấn Trảng Bom,Đường Quốc lộ 1,3.0
110000000.0,3000.0,,,,Đã có sổ,Bình Phước,Huyện Đồng Phú,Xã Đồng Tâm,DT 741,
6800000000.0,69.0,3.0,3.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Thạnh Mỹ Lợi (Quận 2 cũ),Thành Mỹ Lợi,3.0
5400000000.0,162.0,,,,Đã có sổ,Bình Dương,Thành phố Thuận An,Phường Thuận Giao,D8,
190000000.0,530.0,,,,Đã có sổ,Đắk Lắk,Thị Xã Buôn Hồ,Xã Ea Drông,Quốc Lộ 29,
1250000000.0,148.0,5.0,5.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Huyện Củ Chi,Xã Tân An Hội,Đường Trần Thị Bàu,1.0
1200000000.0,100.0,,,,Đã có sổ,Đồng Nai,Huyện Trảng Bom,Xã An Viễn,Đường Trảng Bom - An Viễn,
2750000000.0,73.0,2.0,2.0,,Hợp đồng mua bán,Tp Hồ Chí Minh,Quận 8,Phường 16,Võ Văn Kiệt,
11500000000.0,124.0,3.0,1.0,,Sổ hồng riêng,Tp Hồ Chí Minh,Quận Bình Thạnh,Phường 22,Nguyễn Hữu Cảnh,
7700000000.0,160.0,3.0,3.0,,Hợp đồng mua bán,Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Phường Nguyễn An Ninh,Đường 2/9,
1500000000.0,3000.0,,,,Đã có sổ,Đồng Nai,Huyện Thống Nhất,Xã Gia Tân 2,Đường Quốc lộ 20,
10500000000.0,68.0,5.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận 6,Phường 10,64,
2200000000.0,150.0,3.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Bình Dương,Thị xã Bến Cát,Phường Mỹ Phước,D10,1.0
839000000.0,150.0,3.0,3.0,"Nhà mặt phố, mặt tiền",Đã có sổ,An Giang,Thành phố Long Xuyên,Phường Bình Đức,Đường Số 7,2.0
22000000000.0,238.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Bình Thọ (Quận Thủ Đức cũ),Đường Bác Ái,2.0
7000000000.0,12350.0,,,,Đã có sổ,Đồng Nai,Huyện Định Quán,Xã La Ngà,Quoc lo,
195000000.0,10.0,1.0,1.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Huyện Hóc Môn,Xã Xuân Thới Sơn,Đường Nguyễn Văn Bứa,1.0
1950000000.0,52.0,,,,Đã có sổ,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Long Phước (Quận 9 cũ),Đường Long Phước,
3100000000.0,90.0,,,,Đang chờ sổ,Bình Dương,Thành phố Dĩ An,Phường Đông Hòa,Đường Tân Lập,
5000000000.0,97.5,,,,Đã có sổ,Bình Dương,Thành phố Dĩ An,Phường Bình An,Đường Thống Nhất,
160000000.0,3000.0,,,,Đã có sổ,Bình Dương,Thành phố Dĩ An,Phường Dĩ An,Ltk,
10000000000.0,103.0,3.0,2.0,,Đang chờ sổ,Tp Hồ Chí Minh,Quận 10,Phường 14,Tô Hiến Thành,
8900000000.0,140.0,,,,Đã có sổ,Tp Hồ Chí Minh,Huyện Nhà Bè,Xã Phước Kiển,Đường Lê Văn Lương,
1950000000.0,4068.1,,,,Đã có sổ,Bà Rịa - Vũng Tàu,Huyện Xuyên Mộc,Xã Phước Thuận,Quốc Lộc 55,
3500000000.0,70.0,2.0,2.0,,Sổ hồng riêng,Tp Hồ Chí Minh,Huyện Bình Chánh,Xã Phong Phú,Trịnh Quang Nghị,
4800000000.0,70.0,4.0,2.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận Bình Tân,Phường An Lạc,Đường Hồ Học Lãm,
5500000000.0,56.0,5.0,5.0,Nhà phố liền kề,Đã có sổ,Tp Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hoà B,Nguyễn Thị Tú,4.0
1180000000.0,45.0,1.0,1.0,,Sổ hồng riêng,Bình Dương,Thành phố Thủ Dầu Một,Phường Phú Mỹ,Đường D1 PHÚ HÒA,
1850000000.0,30.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận Bình Tân,Phường Tân Tạo,Đường Hồ Văn Long,1.0
2600000000.0,123.0,3.0,2.0,,Sổ hồng riêng,Bình Dương,Thành phố Thuận An,Phường Thuận Giao,Đường Quốc Lộ 13,
300000000.0,235.0,,,,Đã có sổ,Bình Phước,Huyện Chơn Thành,Thị trấn Chơn Thành,đường số 8,
14100000000.0,470.0,,,,Đã có sổ,Bình Dương,Thành phố Thủ Dầu Một,Phường Phú Mỹ,Đường DX 02 Phú Mỹ,
6500000000.0,3603.0,,,,Đã có sổ,Bình Dương,Huyện Dầu Tiếng,Xã Định Hiệp,DH704,
4000000000.0,88.0,2.0,2.0,,Sổ hồng riêng,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Phú Hữu (Quận 9 cũ),D7,
1500000000.0,1000.0,,,,Đã có sổ,Đồng Nai,Huyện Thống Nhất,Thị trấn Dầu Giây,Đường Quốc lộ 20,
590000000.0,1002.0,,,,Đã có sổ,Đồng Nai,Huyện Định Quán,Xã Phú Ngọc,ẤP 4,
