street,ward,district,city,size,property_legal_document,bed_rooms,toilets,floors,price,house_type
Phú Đô,Phú Đô,Nam Từ Liêm,Hà Nội,39.3,7,3,3,5,91.0,3
Lê Thanh Nghị,Đồng Tâm,Hai Bà Trưng,Hà Nội,58.9,7,3,9,1,218.0,3
Khâm Thiên,Trung Phụng,Đống Đa,Hà Nội,11.9,7,7,3,5,42.0,3
Lĩnh Nam,Vĩnh Hưng,Hoàng Mai,Hà Nội,21.5,7,3,5,4,355.0,3
Đê Trần Khát Chân,Thanh Lương,Hai Bà Trưng,Hà Nội,243.3,7,3,9,3,3552.0,3
Đa Sỹ,Kiến Hưng,Hà Đông,Hà Nội,35.4,7,3,1,3,62.0,3
Phú Diễn,Phú Diễn,Bắc Từ Liêm,Hà Nội,76.0,7,53,3,8,215.0,3
Vũ Đình Tụng,Thạch Bàn,Long Biên,Hà Nội,50.0,7,3,3,6,945.0,3
Trung Liệt,Trung Liệt,Đống Đa,Hà Nội,65.8,7,7,3,3,198.0,3
Xuân Đỉnh,Xuân Đỉnh,Bắc Từ Liêm,Hà Nội,61.5,7,53,3,6,167.0,3
Khâm Thiên,Trung Phụng,Đống Đa,Hà Nội,28.7,7,7,3,5,765.0,3
Thái Thịnh,Thịnh Quang,Đống Đa,Hà Nội,56.35,7,7,3,2,13.0,3
Trường Chinh,Khương Thượng,Đống Đa,Hà Nội,50.1,7,7,3,5,868.0,3
Đại Mỗ,Đại Mỗ,Nam Từ Liêm,Hà Nội,41.4,7,3,3,4,78.0,3
Miếu Đầm,Mễ Trì,Nam Từ Liêm,Hà Nội,63.7,7,3,3,7,188.0,3
Duy Tân,Dịch Vọng Hậu,Cầu Giấy,Hà Nội,162.0,7,3,3,1,76.0,3
Kim Ngưu,Thanh Lương,Hai Bà Trưng,Hà Nội,27.7,7,3,9,5,735.0,3
Hòa Bình,Yên Nghĩa,Hà Đông,Hà Nội,54.2,7,3,1,3,45.0,3
Ngọc Lâm,Bồ Đề,Long Biên,Hà Nội,89.0,7,3,3,1,12.0,3
Xuân Đỉnh,Xuân Đỉnh,Bắc Từ Liêm,Hà Nội,62.4,7,53,3,7,169.0,3
La Thành,Giảng Võ,Ba Đình,Hà Nội,105.2,7,3,3,2,24.0,3
Trường Chinh,Kim Liên,Đống Đa,Hà Nội,30.0,7,7,3,6,9.0,3
Kim Giang,Đại Kim,Hoàng Mai,Hà Nội,86.7,7,3,5,5,179.0,3
Tôn Đức Thắng,Hàng Bột,Đống Đa,Hà Nội,15.5,7,7,3,1,288.0,3
Bắc Linh Đàm,Định Công,Hoàng Mai,Hà Nội,74.8,7,3,5,5,31.0,3
